"b","cea","cel","cpa","mu_A","mu_L","tau_E","tau_L","tau_P","meas_sd","loglik","loglik.se"
1.18702207924403,0.0132088702404268,0.0172244842038504,0.00466955565765198,1.89532307252467e-05,0.0158937470126093,15.7219226675806,5.18906255435284,18.0248791283609,10,-316.344449355634,0.49285005149571
9.72571062422387,0.0176561978742498,0.0253057102390983,0.00522816777131202,9.63343974732215e-06,0.00844276438107519,13.4660524104955,8.06501526378308,11.8626748644955,13.6269037193807,-265.938912847298,0.0282070607680158
5.67086222462703,0.0160713710694929,0.0229232049865231,0.00585732119220182,1.25181129697758e-05,0.00859677029621881,12.9069760811205,7.61685514420443,12.3713229270572,13.5841606660542,-269.767616845876,0.129421116023099
6.1067762662392,0.0167215168818006,0.0208622882585471,0.00552757606657769,1.30483762792904e-05,0.00540836062237903,12.113273409949,8.19578298656714,11.6900458881748,14.1012521718658,-267.483904907752,0.0408751631853137
6.38523582597327,0.0169735139768566,0.0207498191303568,0.0054908166381509,9.15181468822144e-06,0.0048251728644068,12.7688536302528,7.95934602157004,12.1780258952158,13.4962335073537,-267.162393009971,0.0316037290686447
5.74197002559444,0.0163913772000393,0.0207637432319663,0.00537925717791444,1.87432379318684e-05,0.00873458386945246,12.3024199925445,8.31698335128871,10.6595144616411,13.8261681457755,-269.244833990635,0.0443236047294959
10.8995025668436,0.0185273433096439,0.0201608183014086,0.00539239407099133,1.80345841547732e-05,0.0172949326130639,15.1132827963128,7.49683487411071,11.8801425902654,13.9868053910247,-269.524973940996,0.0262632633497067
6.4692769691395,0.0166900478111839,0.0228776846417837,0.00543887174332146,2.2637472458957e-05,0.0075384605948703,12.6356679774707,7.70762776914512,12.5117010611652,13.3483552199184,-267.877771401722,0.0389591180276194
7.8307032159661,0.0167144250081621,0.0305189460449782,0.00509100677501315,3.91717772708088e-05,0.00865141243223361,12.9867321759917,8.09585699457541,12.5574394336125,14.1620746631669,-266.449128756099,0.0600707517115428
9.12120904699163,0.0165981011854059,0.0304295164375024,0.00556806656295696,2.06729481621477e-05,0.00313994341922621,13.8042593988585,7.69404678570426,11.8806131561137,12.3492953597422,-265.75494907511,0.0830771516359967
7.23967674172355,0.0170690602593616,0.0228817701614497,0.0054243222588452,8.26971724001713e-06,0.00683336939830562,13.4602445791574,8.10753089177024,11.7456657492451,14.0319307850985,-266.637778820024,0.0406673594865623
9.84406649856646,0.0175112466490355,0.0263822454083565,0.00531569205857198,4.01584172865959e-05,0.00737641889391831,13.5870299777855,8.10981413051729,12.0782221160341,12.6394234587478,-265.384407750087,0.0518700678181961
8.24030912889633,0.017279890753544,0.0249314507828453,0.00519945692651236,1.99411320051077e-05,0.00698432501555173,13.0618039932994,8.1693349886569,12.36443100821,12.6729348239997,-266.364055668755,0.0519499956961632
7.73034115560056,0.0171124829836341,0.0237767867376828,0.00544562332712981,1.27470984609148e-05,0.00516816171773604,12.7267149773826,8.41153864016099,11.859178800118,13.0589265662637,-266.333039779428,0.0298891263182896
8.40378061636788,0.0169429640388054,0.0282119422407766,0.00534167910685504,1.44198786751352e-05,0.00795106511972706,12.3636127835305,8.11277087829169,12.2932571895195,13.7387089904599,-266.109972288642,0.0602795686693483
4.80307866190559,0.0160370275705935,0.0194711239237115,0.00550080425046226,2.31381578882392e-05,0.0112390517333032,13.809355654381,7.43369831471308,12.2794304549536,13.8366802920265,-270.316493973006,0.0339409961264052
7.64275457389054,0.0173216833539535,0.0240325838815088,0.00516734880204921,2.21738595377865e-05,0.00549446052476016,11.4511374688831,8.17915560124677,12.1018724616995,14.6146302528762,-266.886989504564,0.0208993852917452
10.83862017561,0.0176657029359405,0.0279423184246214,0.0055509474177741,1.50746841139729e-05,0.0074203344690921,12.2088735354577,8.46243567930987,12.7367504035109,12.2556292846806,-267.067235048862,0.109555160561763
8.898804546953,0.0172580613204175,0.0254284761201796,0.00541822252522878,1.49150956169708e-05,0.00930497018875304,13.6765216008913,7.97401069037149,12.6985940292329,12.9426843368905,-267.142867050289,0.0404287311512427
9.34932241313957,0.0175588102811199,0.0237588756187974,0.0053692551584569,1.96520504980925e-05,0.00734056571243408,13.3000086842092,8.15546458389233,11.9125066147734,12.6202783725701,-266.640106662806,0.0407641490812402
4.99076017772142,0.0161723948066338,0.0188704020225809,0.00550606599272031,1.47465846999759e-05,0.0102133320241206,13.1111530094897,7.67287049876091,11.7462913430323,14.009530911096,-269.856639009894,0.0467403550633393
